seic,seic_benefit,SEIC ERROR,health,health_benefit,Health ERROR,house,house_benefit,House ERROR,nutrition,nutrition_benefit,Nutrition ERROR,livelihood,livelihood_benefit,livelihood ERROR,education,education_benefit,Education ERROR,scheme1,scheme1_benefit,Scheme-1 ERROR,scheme2,scheme2_benefit,Scheme-2 ERROR
43,50809,No Error,90,75978,No Error,64,23334,No Error,12,12241,No Error,2,32271,No Error,49,36123,No Error,74,Non-Eligible,No Error,60,Non-Eligible,No Error
62,86867,No Error,83,29101,No Error,95,31726,No Error,74,56841,No Error,2,53350,EOI,57,1901,No Error,75,Non-Eligible,No Error,92,Non-Eligible,EOE
58,69760,No Error,55,18931,No Error,32,73196,No Error,96,24129,No Error,67,76336,No Error,42,8315,No Error,63,Non-Eligible,No Error,65,Eligible,No Error
66,12774,No Error,48,31300,No Error,45,39538,No Error,75,31286,No Error,64,78697,No Error,98,43857,No Error,29,Eligible,No Error,96,Eligible,No Error
41,42191,No Error,37,62014,No Error,83,34608,No Error,23,46721,EOI,9,26187,No Error,57,65848,No Error,54,Eligible,No Error,90,Eligible,No Error
62,57136,No Error,68,74884,No Error,44,35762,No Error,59,33466,No Error,58,48417,No Error,82,75481,No Error,82,Non-Eligible,EOE,23,Non-Eligible,No Error
43,51312,No Error,64,26918,No Error,32,6088,No Error,64,4772,No Error,2,20293,No Error,55,73542,No Error,88,Eligible,No Error,57,Eligible,No Error
37,99705,No Error,43,55474,No Error,63,65343,No Error,34,41701,No Error,16,36608,No Error,32,69526,No Error,70,Eligible,No Error,74,Non-Eligible,No Error
69,69554,No Error,53,33,No Error,100,11776,No Error,97,55306,No Error,24,24828,No Error,71,54227,No Error,90,Non-Eligible,EOE,31,Non-Eligible,No Error
67,22199,No Error,77,27996,No Error,52,61004,No Error,44,29260,No Error,68,19037,No Error,95,48832,No Error,40,Non-Eligible,No Error,64,Non-Eligible,No Error
57,16597,No Error,50,1569,No Error,54,48421,No Error,79,63886,No Error,45,67185,No Error,58,17597,No Error,59,Non-Eligible,No Error,84,Non-Eligible,EOE
60,82912,No Error,77,77392,No Error,32,7748,No Error,39,62775,No Error,79,86453,No Error,73,67234,No Error,62,Eligible,No Error,74,Eligible,No Error
36,76928,No Error,21,2800,No Error,61,34198,No Error,11,69832,EOI,7,98358,EOI,82,72437,No Error,36,Eligible,No Error,99,Non-Eligible,EOE
66,19362,No Error,90,27484,No Error,47,44152,No Error,94,67270,No Error,52,56184,No Error,51,78264,No Error,74,Eligible,No Error,17,Non-Eligible,No Error
75,54475,No Error,88,29743,No Error,71,34165,No Error,91,74393,No Error,47,9478,No Error,82,73404,No Error,98,Non-Eligible,EOE,81,Eligible,No Error
48,27389,No Error,24,70161,EOI,80,71779,No Error,15,13936,No Error,93,83658,No Error,31,24790,No Error,68,Eligible,No Error,38,Non-Eligible,No Error
65,3053,No Error,93,54707,No Error,32,44337,No Error,84,46174,No Error,50,93185,No Error,66,10981,No Error,57,Eligible,No Error,20,Non-Eligible,No Error
66,14141,No Error,95,5117,EOE,87,29264,No Error,53,42019,No Error,6,51337,EOI,91,34917,No Error,81,Eligible,No Error,16,Eligible,EOI
58,72938,No Error,74,57850,No Error,57,25509,No Error,51,23636,No Error,24,92925,EOI,88,15906,No Error,60,Non-Eligible,No Error,78,Eligible,No Error
51,52458,No Error,35,49117,No Error,87,79882,No Error,37,22195,No Error,59,76290,No Error,38,36734,No Error,80,Non-Eligible,EOE,89,Eligible,No Error
58,3061,No Error,78,73225,No Error,71,1383,No Error,93,76338,No Error,16,79598,EOI,35,16070,No Error,23,Eligible,No Error,96,Eligible,No Error
67,92591,No Error,85,25684,No Error,59,10965,No Error,56,71272,No Error,77,22472,No Error,59,6760,No Error,42,Non-Eligible,No Error,21,Eligible,No Error
60,77085,No Error,96,62734,No Error,48,74988,No Error,69,76395,No Error,0,94453,EOI,91,65963,No Error,49,Eligible,No Error,84,Non-Eligible,EOE
60,79431,No Error,41,47150,No Error,90,13319,No Error,54,8771,No Error,40,63782,No Error,76,27,EOE,35,Eligible,No Error,18,Eligible,EOI
54,80854,No Error,89,51297,No Error,71,54355,No Error,12,13281,No Error,63,27055,No Error,38,73813,No Error,60,Eligible,No Error,72,Eligible,No Error
37,25439,No Error,21,18296,No Error,53,32558,No Error,31,53121,No Error,23,16444,No Error,59,52955,No Error,22,Non-Eligible,No Error,12,Eligible,EOI
56,97696,No Error,80,31009,No Error,46,53240,No Error,48,20303,No Error,49,55298,No Error,60,41131,No Error,99,Non-Eligible,EOE,29,Eligible,No Error
61,27882,No Error,72,72933,No Error,82,53899,No Error,20,7730,No Error,100,45460,No Error,31,4316,No Error,84,Eligible,No Error,87,Non-Eligible,EOE
82,48006,No Error,86,20319,No Error,62,19658,No Error,96,44384,No Error,75,83148,No Error,95,11007,No Error,82,Non-Eligible,EOE,40,Eligible,No Error
35,71111,No Error,29,56926,No Error,53,60568,No Error,59,35432,No Error,2,8381,No Error,32,42324,No Error,32,Eligible,No Error,16,Eligible,EOI
44,82245,No Error,37,51914,No Error,55,19362,No Error,10,5318,No Error,67,76619,No Error,55,38932,No Error,71,Eligible,No Error,62,Eligible,No Error
61,97939,No Error,75,13610,No Error,73,50021,No Error,57,44577,No Error,9,29110,No Error,94,40836,No Error,65,Non-Eligible,No Error,27,Eligible,No Error
64,54219,No Error,89,74893,No Error,38,23819,No Error,72,58581,No Error,41,48957,No Error,83,78343,No Error,44,Eligible,No Error,41,Eligible,No Error
54,29267,No Error,53,47717,No Error,84,8287,EOE,21,52604,EOI,31,68719,No Error,83,7693,EOE,29,Eligible,No Error,67,Eligible,No Error
73,13614,EOE,43,10728,No Error,96,26198,No Error,74,4147,No Error,62,72415,No Error,93,48993,No Error,55,Eligible,No Error,45,Eligible,No Error
56,17449,No Error,35,69421,No Error,52,23729,No Error,100,69239,No Error,9,40575,EOI,84,51290,No Error,93,Eligible,No Error,92,Non-Eligible,EOE
79,39168,No Error,99,63043,No Error,87,48590,No Error,73,67297,No Error,63,12150,No Error,77,62099,No Error,85,Non-Eligible,EOE,63,Eligible,No Error
58,50513,No Error,52,30011,No Error,90,5636,EOE,69,23702,No Error,24,26377,No Error,55,54129,No Error,95,Non-Eligible,EOE,35,Non-Eligible,No Error
61,30152,No Error,86,26212,No Error,31,13433,No Error,33,65559,No Error,70,34647,No Error,87,57931,No Error,35,Non-Eligible,No Error,100,Eligible,No Error
51,81641,No Error,37,66804,No Error,32,45390,No Error,96,19781,No Error,58,10245,No Error,32,65357,No Error,88,Eligible,No Error,61,Non-Eligible,No Error
53,28653,No Error,24,42935,EOI,94,5565,EOE,69,6749,No Error,33,14286,No Error,46,73011,No Error,49,Eligible,No Error,18,Non-Eligible,No Error
63,2160,No Error,73,78067,No Error,79,52209,No Error,50,167,No Error,24,5372,No Error,90,30331,No Error,45,Eligible,No Error,18,Eligible,EOI
49,68216,No Error,20,9872,No Error,74,20339,No Error,52,32507,No Error,28,169,No Error,74,59252,No Error,31,Eligible,No Error,41,Non-Eligible,No Error
43,67374,No Error,39,45013,No Error,36,5226,No Error,50,39513,No Error,11,69735,EOI,83,79878,No Error,62,Eligible,No Error,76,Eligible,No Error
83,56759,No Error,94,20433,No Error,72,50923,No Error,69,32741,No Error,91,9419,EOE,93,40620,No Error,72,Non-Eligible,No Error,36,Non-Eligible,No Error
42,32199,No Error,92,79410,No Error,38,42440,No Error,32,15197,No Error,3,50114,EOI,47,69451,No Error,97,Eligible,No Error,34,Non-Eligible,No Error
72,61492,No Error,79,52052,No Error,94,495,EOE,84,38630,No Error,64,68438,No Error,40,50597,No Error,54,Non-Eligible,No Error,91,Eligible,No Error
64,20408,No Error,24,7253,No Error,90,24844,No Error,52,41510,No Error,67,38529,No Error,89,70350,No Error,62,Non-Eligible,No Error,56,Eligible,No Error
58,13087,No Error,25,62614,EOI,36,23814,No Error,82,66708,No Error,64,15801,No Error,86,22918,No Error,60,Non-Eligible,No Error,23,Eligible,No Error
40,31151,No Error,32,41662,No Error,38,6414,No Error,37,59380,No Error,55,76797,No Error,42,63302,No Error,34,Non-Eligible,No Error,84,Eligible,No Error
69,15544,No Error,57,47921,No Error,41,38240,No Error,98,24200,No Error,67,83631,No Error,85,27859,No Error,83,Non-Eligible,EOE,58,Non-Eligible,No Error
68,13516,No Error,87,68805,No Error,76,34079,No Error,44,5646,No Error,35,51286,No Error,99,63509,No Error,27,Non-Eligible,No Error,53,Non-Eligible,No Error
59,1014,No Error,91,15828,No Error,80,32502,No Error,75,63615,No Error,14,10323,No Error,36,71076,No Error,62,Non-Eligible,No Error,68,Non-Eligible,No Error
47,76249,No Error,59,32807,No Error,47,40731,No Error,30,78578,No Error,58,68041,No Error,43,58152,No Error,83,Eligible,No Error,20,Eligible,EOI
76,38959,No Error,78,61688,No Error,60,16272,No Error,81,19188,No Error,72,28504,No Error,90,2595,EOE,66,Non-Eligible,No Error,62,Non-Eligible,No Error
63,62247,No Error,46,77574,No Error,66,54422,No Error,24,41644,EOI,92,98672,No Error,88,65980,No Error,39,Non-Eligible,No Error,23,Eligible,No Error
66,2418,No Error,99,64232,No Error,71,68155,No Error,86,55361,No Error,19,25373,No Error,57,45601,No Error,40,Eligible,No Error,95,Eligible,No Error
63,72744,No Error,60,28902,No Error,59,31223,No Error,82,77202,No Error,32,11007,No Error,84,11861,No Error,52,Eligible,No Error,18,Eligible,EOI
55,95745,No Error,99,40108,No Error,62,1265,No Error,20,58384,EOI,26,33137,No Error,68,16979,No Error,78,Eligible,No Error,52,Eligible,No Error
53,33019,No Error,50,33102,No Error,65,61274,No Error,31,73765,No Error,86,97431,No Error,36,19904,No Error,74,Eligible,No Error,36,Non-Eligible,No Error
67,92651,No Error,50,21374,No Error,62,22463,No Error,84,64724,No Error,86,90348,No Error,56,18843,No Error,77,Non-Eligible,No Error,39,Eligible,No Error
47,77787,No Error,38,50142,No Error,62,69827,No Error,66,24644,No Error,36,22852,No Error,33,35242,No Error,26,Eligible,No Error,91,Non-Eligible,EOE
68,34522,No Error,65,19126,No Error,88,70052,No Error,13,69129,EOI,83,35633,No Error,92,59340,No Error,96,Eligible,No Error,41,Non-Eligible,No Error
74,50748,No Error,96,62578,No Error,63,66415,No Error,62,76226,No Error,84,91255,No Error,65,5728,No Error,90,Eligible,No Error,31,Non-Eligible,No Error
64,95713,No Error,54,17318,No Error,78,13960,No Error,73,45857,No Error,83,19241,No Error,36,77342,No Error,24,Eligible,No Error,72,Eligible,No Error
55,48795,No Error,45,73272,No Error,41,50744,No Error,66,15635,No Error,50,2706,No Error,76,29927,No Error,89,Eligible,No Error,18,Non-Eligible,No Error
81,78554,No Error,74,78901,No Error,72,52458,No Error,73,76790,No Error,91,28562,No Error,99,56801,No Error,48,Non-Eligible,No Error,41,Eligible,No Error
79,75504,No Error,56,40095,No Error,80,6245,EOE,85,18278,No Error,98,89405,No Error,77,10866,No Error,31,Eligible,No Error,14,Non-Eligible,No Error
55,57280,No Error,27,18546,No Error,94,31238,No Error,67,49036,No Error,17,26949,No Error,73,51060,No Error,73,Eligible,No Error,13,Eligible,EOI
39,59078,No Error,26,17402,No Error,94,12001,No Error,19,52154,EOI,8,3823,No Error,51,32171,No Error,81,Non-Eligible,EOE,59,Eligible,No Error
58,75866,No Error,78,14118,No Error,37,59438,No Error,34,47025,No Error,52,65254,No Error,93,27730,No Error,26,Non-Eligible,No Error,61,Eligible,No Error
60,69984,No Error,37,49382,No Error,92,24851,No Error,16,30241,No Error,88,63870,No Error,68,40638,No Error,66,Eligible,No Error,94,Eligible,No Error
55,99808,No Error,29,40599,No Error,87,10980,No Error,16,57598,EOI,51,99880,No Error,94,22907,No Error,87,Non-Eligible,EOE,43,Non-Eligible,No Error
65,27707,No Error,61,10583,No Error,91,47961,No Error,43,25991,No Error,88,5358,EOE,43,4521,No Error,92,Eligible,No Error,64,Non-Eligible,No Error
59,48093,No Error,31,11125,No Error,76,82,EOE,88,33873,No Error,54,56189,No Error,48,67933,No Error,89,Non-Eligible,EOE,55,Non-Eligible,No Error
43,15576,No Error,32,4428,No Error,70,4156,No Error,63,51090,No Error,0,34013,No Error,54,39398,No Error,86,Non-Eligible,EOE,38,Eligible,No Error
64,30184,No Error,25,22469,No Error,32,40807,No Error,81,50907,No Error,98,11243,No Error,88,8566,EOE,97,Eligible,No Error,98,Non-Eligible,EOE
39,29237,No Error,52,72681,No Error,36,71868,No Error,33,57099,No Error,40,53665,No Error,34,40800,No Error,38,Eligible,No Error,68,Eligible,No Error
85,75559,No Error,88,7207,EOE,59,8316,No Error,99,75096,No Error,83,5392,EOE,99,66130,No Error,93,Non-Eligible,EOE,25,Eligible,No Error
67,83326,No Error,85,57749,No Error,50,48199,No Error,90,35226,No Error,40,54488,No Error,74,38732,No Error,41,Eligible,No Error,36,Eligible,No Error
53,25662,No Error,50,69347,No Error,74,8644,No Error,55,61373,No Error,16,38672,No Error,70,50534,No Error,93,Non-Eligible,EOE,88,Eligible,No Error
48,5172,No Error,28,12005,No Error,53,31051,No Error,22,40481,EOI,86,24093,No Error,54,24218,No Error,49,Eligible,No Error,89,Eligible,No Error
58,2339,No Error,32,11336,No Error,40,63232,No Error,70,7442,No Error,94,83764,No Error,57,63112,No Error,21,Non-Eligible,No Error,49,Eligible,No Error
69,14288,No Error,100,17966,No Error,31,72962,No Error,94,17989,No Error,45,95033,No Error,76,78633,No Error,68,Eligible,No Error,41,Non-Eligible,No Error
69,25179,No Error,63,50794,No Error,99,75084,No Error,80,13450,No Error,60,67776,No Error,46,79712,No Error,32,Eligible,No Error,75,Eligible,No Error
47,82213,No Error,26,226,No Error,73,56179,No Error,49,33098,No Error,44,35313,No Error,43,64202,No Error,58,Non-Eligible,No Error,53,Eligible,No Error
62,6880,No Error,77,72633,No Error,71,65604,No Error,17,8451,No Error,68,6199,No Error,80,30956,No Error,79,Non-Eligible,No Error,52,Non-Eligible,No Error
56,92459,No Error,29,31982,No Error,94,46023,No Error,99,49114,No Error,24,91321,EOI,34,30910,No Error,89,Eligible,No Error,70,Eligible,No Error
48,86673,No Error,52,51189,No Error,34,43791,No Error,58,42195,No Error,31,67089,No Error,67,13489,No Error,55,Eligible,No Error,49,Non-Eligible,No Error
59,19604,No Error,66,33840,No Error,80,42692,No Error,61,59786,No Error,22,26123,No Error,66,60871,No Error,30,Eligible,No Error,13,Eligible,EOI
58,66604,No Error,39,39138,No Error,64,26171,No Error,68,39858,No Error,74,44294,No Error,46,72120,No Error,84,Non-Eligible,EOE,53,Non-Eligible,No Error
58,98686,No Error,59,50595,No Error,77,5437,EOE,15,51658,EOI,70,50983,No Error,73,18422,No Error,48,Eligible,No Error,91,Non-Eligible,EOE
58,51831,No Error,82,73488,No Error,78,22335,No Error,40,6903,No Error,55,10631,No Error,39,48445,No Error,41,Non-Eligible,No Error,77,Non-Eligible,No Error
52,70688,No Error,31,66534,No Error,32,10931,No Error,90,51692,No Error,32,96400,No Error,76,61387,No Error,36,Eligible,No Error,46,Eligible,No Error
60,57004,No Error,83,31332,No Error,71,68526,No Error,49,38561,No Error,8,60106,EOI,90,73015,No Error,27,Eligible,No Error,14,Non-Eligible,No Error
61,30013,No Error,97,31835,No Error,68,38432,No Error,18,46696,EOI,40,50415,No Error,86,32061,No Error,100,Non-Eligible,EOE,68,Eligible,No Error
39,90362,No Error,54,1085,No Error,44,35270,No Error,31,17755,No Error,28,89563,No Error,42,12437,No Error,65,Eligible,No Error,69,Non-Eligible,No Error
66,59448,No Error,63,60714,No Error,85,54337,No Error,83,2309,EOE,37,94085,No Error,65,31561,No Error,62,Eligible,No Error,11,Eligible,EOI
55,89292,No Error,55,44305,No Error,32,61848,No Error,66,48538,No Error,63,10552,No Error,62,24714,No Error,52,Eligible,No Error,100,Eligible,No Error
54,35799,No Error,93,69040,No Error,30,36393,No Error,27,46230,No Error,28,84838,No Error,94,51088,No Error,45,Eligible,No Error,62,Non-Eligible,No Error
69,26394,No Error,69,50088,No Error,76,25866,No Error,98,71629,No Error,13,93807,EOI,89,72213,No Error,64,Non-Eligible,No Error,63,Eligible,No Error
61,45696,No Error,80,38165,No Error,79,18283,No Error,23,62280,EOI,83,19562,No Error,42,69453,No Error,51,Non-Eligible,No Error,100,Eligible,No Error
50,36126,No Error,53,62224,No Error,98,47410,No Error,20,33567,No Error,47,56778,No Error,32,43119,No Error,98,Eligible,No Error,66,Eligible,No Error
51,60644,No Error,37,11770,No Error,89,23104,No Error,20,79742,EOI,53,38881,No Error,59,20766,No Error,36,Eligible,No Error,92,Eligible,No Error
51,66680,No Error,71,9792,No Error,85,31108,No Error,38,66949,No Error,1,46547,EOI,62,207,No Error,26,Eligible,No Error,73,Eligible,No Error
70,73671,No Error,64,20375,No Error,91,26578,No Error,100,23610,No Error,17,81037,EOI,78,3507,EOE,46,Non-Eligible,No Error,46,Eligible,No Error
56,81418,No Error,66,49827,No Error,34,15117,No Error,79,16819,No Error,27,4328,No Error,74,3579,No Error,86,Eligible,No Error,64,Eligible,No Error
57,16387,No Error,21,48507,EOI,38,78947,No Error,62,40808,No Error,97,47884,No Error,71,23843,No Error,90,Non-Eligible,EOE,60,Eligible,No Error
50,36182,No Error,24,65361,EOI,56,5817,No Error,54,23647,No Error,27,213,No Error,92,1919,EOE,83,Non-Eligible,EOE,22,Eligible,No Error
54,59665,No Error,97,63173,No Error,73,26327,No Error,13,70651,EOI,22,82531,EOI,66,15996,No Error,33,Eligible,No Error,67,Non-Eligible,No Error
50,90264,No Error,46,48577,No Error,36,75095,No Error,75,8012,EOE,14,80318,EOI,83,61549,No Error,30,Eligible,No Error,12,Eligible,EOI
48,57067,No Error,50,22003,No Error,59,29355,No Error,66,12631,No Error,15,52603,EOI,52,9375,No Error,93,Non-Eligible,EOE,94,Non-Eligible,EOE
48,49103,No Error,92,38071,No Error,62,52076,No Error,27,13351,No Error,8,23779,No Error,51,69085,No Error,69,Non-Eligible,No Error,26,Eligible,No Error
68,60312,No Error,41,31821,No Error,47,74586,No Error,96,46125,No Error,97,80683,No Error,60,59708,No Error,71,Eligible,No Error,46,Eligible,No Error
52,31075,No Error,97,57729,No Error,81,54414,No Error,41,11516,No Error,11,3973,No Error,32,20244,No Error,38,Non-Eligible,No Error,61,Eligible,No Error
78,75541,No Error,49,62799,No Error,99,63260,No Error,81,74164,No Error,70,72923,No Error,92,47610,No Error,37,Non-Eligible,No Error,46,Non-Eligible,No Error
54,32376,No Error,25,71382,EOI,38,17925,No Error,46,38833,No Error,87,67594,No Error,77,13578,No Error,65,Eligible,No Error,13,Eligible,EOI
49,54225,No Error,34,1689,No Error,82,59198,No Error,32,64469,No Error,31,42449,No Error,70,37560,No Error,73,Non-Eligible,No Error,72,Non-Eligible,No Error
55,36529,No Error,87,13860,No Error,58,5668,No Error,47,51060,No Error,12,94154,EOI,75,65079,No Error,78,Eligible,No Error,64,Eligible,No Error
42,38500,No Error,21,37521,No Error,39,36201,No Error,68,43671,No Error,9,15121,No Error,77,72472,No Error,55,Eligible,No Error,25,Eligible,No Error
48,63612,No Error,45,3468,No Error,50,47074,No Error,36,70324,No Error,79,47252,No Error,34,49433,No Error,59,Non-Eligible,No Error,19,Non-Eligible,No Error
62,96484,No Error,89,51085,No Error,96,67386,No Error,31,65134,No Error,40,86298,No Error,54,69079,No Error,78,Eligible,No Error,26,Non-Eligible,No Error
37,26896,No Error,31,60935,No Error,31,34362,No Error,32,4912,No Error,57,70233,No Error,38,71876,No Error,62,Non-Eligible,No Error,75,Eligible,No Error
54,51106,No Error,60,30775,No Error,30,14792,No Error,51,43288,No Error,77,50127,No Error,53,3551,No Error,100,Non-Eligible,EOE,23,Eligible,No Error
71,13,EOE,59,28396,No Error,44,66162,No Error,94,17910,No Error,90,39526,No Error,71,43622,No Error,67,Non-Eligible,No Error,31,Eligible,No Error
74,67028,No Error,29,25900,No Error,71,19841,No Error,82,46567,No Error,98,84155,No Error,91,15488,No Error,20,Eligible,EOI,17,Non-Eligible,No Error
51,63231,No Error,46,33261,No Error,54,52040,No Error,75,48702,No Error,8,69530,EOI,72,56937,No Error,73,Eligible,No Error,46,Non-Eligible,No Error
56,19495,No Error,94,42982,No Error,61,34253,No Error,41,31612,No Error,54,79142,No Error,31,71249,No Error,88,Eligible,No Error,33,Non-Eligible,No Error
68,90385,No Error,87,46316,No Error,98,16337,No Error,72,54903,No Error,12,12547,No Error,72,77707,No Error,63,Eligible,No Error,78,Non-Eligible,No Error
88,93238,No Error,78,39560,No Error,100,75931,No Error,95,71242,No Error,69,44889,No Error,99,24541,No Error,59,Eligible,No Error,61,Eligible,No Error
67,58282,No Error,53,34100,No Error,76,71620,No Error,19,36705,No Error,94,40912,No Error,95,46483,No Error,46,Non-Eligible,No Error,53,Non-Eligible,No Error
66,10229,No Error,68,32127,No Error,76,4265,EOE,33,49224,No Error,72,46839,No Error,81,39323,No Error,58,Eligible,No Error,28,Eligible,No Error
42,15717,No Error,51,27581,No Error,69,36578,No Error,17,49349,EOI,2,72302,EOI,71,26361,No Error,59,Non-Eligible,No Error,22,Non-Eligible,No Error
57,80320,No Error,98,54477,No Error,83,67881,No Error,39,40344,No Error,18,51467,EOI,50,52968,No Error,64,Eligible,No Error,98,Non-Eligible,EOE
49,83703,No Error,89,18647,No Error,36,39810,No Error,71,6447,No Error,14,20691,No Error,38,66022,No Error,41,Eligible,No Error,23,Non-Eligible,No Error
72,74887,No Error,95,11208,No Error,76,68057,No Error,36,16304,No Error,83,31148,No Error,73,75224,No Error,87,Eligible,No Error,58,Eligible,No Error
56,58697,No Error,56,7025,No Error,69,60608,No Error,59,49349,No Error,34,25884,No Error,66,61709,No Error,74,Eligible,No Error,87,Eligible,No Error
62,16784,No Error,90,29359,No Error,85,50369,No Error,29,39978,No Error,60,58877,No Error,50,72261,No Error,57,Eligible,No Error,39,Non-Eligible,No Error
56,61239,No Error,39,17591,No Error,39,31024,No Error,23,59311,EOI,83,12640,No Error,97,14673,No Error,56,Non-Eligible,No Error,84,Non-Eligible,EOE
46,77578,No Error,44,36947,No Error,66,14879,No Error,26,34166,No Error,8,64438,EOI,88,66802,No Error,22,Eligible,No Error,12,Eligible,EOI
77,80002,No Error,79,49705,No Error,93,428,EOE,76,58119,No Error,97,18868,No Error,43,51967,No Error,100,Non-Eligible,EOE,89,Eligible,No Error
61,73656,No Error,58,50378,No Error,55,47986,No Error,56,63268,No Error,73,44270,No Error,65,31854,No Error,47,Non-Eligible,No Error,42,Eligible,No Error
37,10231,No Error,46,34254,No Error,61,38502,No Error,30,63160,No Error,16,92157,EOI,35,19945,No Error,79,Non-Eligible,No Error,85,Non-Eligible,EOE
50,60260,No Error,71,29152,No Error,44,31969,No Error,36,53600,No Error,60,15436,No Error,40,45799,No Error,24,Eligible,No Error,67,Non-Eligible,No Error
68,57785,No Error,90,66278,No Error,52,15270,No Error,18,46315,EOI,83,96653,No Error,100,56009,No Error,35,Eligible,No Error,53,Non-Eligible,No Error
55,16864,No Error,57,74473,No Error,78,38453,No Error,43,54776,No Error,36,91986,No Error,65,44703,No Error,30,Eligible,No Error,97,Eligible,No Error
43,57505,No Error,57,32849,No Error,73,45862,No Error,17,26372,No Error,9,25147,No Error,62,12580,No Error,40,Non-Eligible,No Error,37,Non-Eligible,No Error
46,86742,No Error,23,76021,EOI,70,38719,No Error,27,58216,No Error,47,28766,No Error,63,71954,No Error,83,Eligible,No Error,27,Non-Eligible,No Error
65,87980,No Error,74,76654,No Error,73,73048,No Error,36,4010,No Error,98,89030,No Error,45,29054,No Error,80,Eligible,No Error,64,Eligible,No Error
59,6481,No Error,48,64419,No Error,62,21592,No Error,43,74566,No Error,58,14613,No Error,86,42265,No Error,83,Non-Eligible,EOE,63,Eligible,No Error
46,51439,No Error,58,6702,No Error,40,68390,No Error,50,42145,No Error,27,40528,No Error,58,35761,No Error,59,Non-Eligible,No Error,77,Eligible,No Error
78,68737,No Error,93,30821,No Error,50,11299,No Error,78,18708,No Error,95,88326,No Error,76,27060,No Error,71,Non-Eligible,No Error,63,Eligible,No Error
50,65870,No Error,78,70112,No Error,68,1023,No Error,23,57018,EOI,21,75641,EOI,64,72633,No Error,85,Non-Eligible,EOE,29,Non-Eligible,No Error
41,62938,No Error,31,68013,No Error,68,52590,No Error,20,60688,EOI,52,71704,No Error,34,16380,No Error,95,Non-Eligible,EOE,92,Eligible,No Error
55,50095,No Error,34,49393,No Error,49,21254,No Error,31,56074,No Error,94,90515,No Error,69,38006,No Error,44,Non-Eligible,No Error,42,Eligible,No Error
54,81650,No Error,36,39865,No Error,54,34274,No Error,76,20202,No Error,38,70685,No Error,68,15567,No Error,61,Non-Eligible,No Error,68,Non-Eligible,No Error
76,22946,No Error,39,769,No Error,98,75891,No Error,75,69647,No Error,100,9090,EOE,69,75599,No Error,97,Non-Eligible,EOE,16,Eligible,EOI
72,38141,No Error,76,1454,EOE,56,23421,No Error,86,42029,No Error,86,99785,No Error,59,9401,No Error,26,Non-Eligible,No Error,65,Non-Eligible,No Error
83,995,EOE,82,15454,No Error,96,25792,No Error,52,64825,No Error,87,42221,No Error,99,25236,No Error,50,Non-Eligible,No Error,53,Eligible,No Error
67,86293,No Error,83,9606,EOE,81,78367,No Error,79,67131,No Error,40,44578,No Error,54,38752,No Error,66,Non-Eligible,No Error,50,Eligible,No Error
63,84494,No Error,86,3959,EOE,77,58889,No Error,13,78754,EOI,88,86625,No Error,54,12314,No Error,20,Non-Eligible,No Error,72,Eligible,No Error
